,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added
3827,s3828,Movie,Still LAUGH-IN: The Stars Celebrate,Unknown,"Lily Tomlin, Tiffany Haddish, Neil Patrick Harris, Michael Douglas, Snoop Dogg, Billy Crystal, Chelsea Handler, Jay Leno, Rita Wilson, Bill Maher, Tony Hale, Rita Moreno, Bobby Moynihan, Michael Rapaport, Mary McCormack, Rob Riggle, Jon Lovitz, Kenya Barris, Ruth Buzzi, Jo Anne Worley, Loni Anderson, Maria Bamford, Margaret Cho, Deon Cole, Taye Diggs, Ron Funches, Nikki Glaser, Jameela Jamil, Natasha Leggero, Loni Love, Cheri Oteri, Russell Peters, Jeff Ross, Lisa Ann Walter",United States,2019-05-14,2019,TV-MA,61 min,Comedies,"This celebration of the groundbreaking comedy show ""Laugh-In"" stars Lily Tomlin, Snoop Dogg, Billy Crystal, Tiffany Haddish, Neil Patrick Harris and more.",2019,5
3831,s3832,TV Show,The Defected,Unknown,"Kara Hui, Philip Keung, Benjamin Yuen, Sisley Choi, Hui Shiu Hung, Ben Wong, Joman Chiang","China, Hong Kong",2019-05-12,2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","After surviving a near-fatal injury on the job, a cop sets out to investigate a conspiracy involving the top brass of the police department.",2019,5
3835,s3836,TV Show,Easy,Unknown,"Aubrey Plaza, Judy Greer, Jane Adams, Zazie Beetz, Kate Berlant, Aya Cash, Michael Chernus, Kiersey Clemons, Orlando Bloom, Malin Akerman, Marc Maron, Dave Franco, Hannibal Buress, Jake Johnson, Emily Ratajkowski, Andrew Bachelor",United States,2019-05-10,2019,TV-MA,3 Seasons,"TV Comedies, TV Dramas","This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture.",2019,5
3838,s3839,TV Show,The Mechanism,Unknown,"Selton Mello, Caroline Abras, Enrique Diaz, Antonio Saboia, Lee Taylor, Otto Jr., Leonardo Medeiros, Osvaldo Mil, Jonathan Haagensen, Giulio Lopes, Susana Ribeiro",Brazil,2019-05-10,2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.,2019,5
3839,s3840,TV Show,The Princess Weiyoung,Unknown,"Tiffany Tang, Luo Jin, Vanness Wu, Rachel Momo, Hsin Ai Lee",China,2019-05-10,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A princess descended from a ruined noble family disguises herself as the woman who saved her life and embarks on a mission to avenge her loved ones.,2019,5
3840,s3841,TV Show,The Society,Unknown,"Kathryn Newton, Gideon Adlon, Sean Berdy, Natasha Liu Bordizzo, Jacques Colimon, Olivia DeJonge, Alex Fitzalan, Kristine Froseth, José Julián, Alex MacNicoll, Toby Wallace, Rachel Keller",United States,2019-05-10,2019,TV-MA,1 Season,"TV Dramas, Teen TV Shows","When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive.",2019,5
3852,s3853,TV Show,Abyss,Unknown,"Park Bo-young, Ahn Hyo-seop, Lee Sung-jae, Lee Si-eon, Han So-hee, Kwon Soo-hyun, Kim Sa-rang, Ahn Se-ha, Yun Yoo-sun",South Korea,2019-05-07,2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize.",2019,5
3854,s3855,TV Show,In the Bosom of a Thorn,Unknown,"Elham Al Fadalah, Ibrahim Al-Harbi, Khaled Al-Buraiki, Layla Abdullah, Noor Alghandour, Abeer Ahmad",Kuwait,2019-05-07,2019,TV-14,1 Season,"International TV Shows, TV Dramas","After the invasion of Kuwait, a woman’s infant daughter is taken from her. Now, her daughter looks to make her way back home years later.",2019,5
3855,s3856,TV Show,The Writer,Unknown,"Bassel Khayyat, Daniella Rahme, Nada Abou Farhat, Nicolas Daniel, Gabriel Yammine",Lebanon,2019-05-07,2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When accused of a murder eerily parallel to a plot in his novel, a best-selling crime writer must navigate a web of hidden enemies.",2019,5
3861,s3862,TV Show,Cupcake & Dino - General Services,Unknown,"Justin Collette, Mark Little, Kyle Dooley, Mark Forward, Joris Jarksy, Julie Lemieux, Kayla Lorette, Julie Sype","Canada, Brazil",2019-05-03,2019,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",An enterprising cupcake and his cheerful dinosaur brother take on jobs of all sorts as they work to help friends and strangers in their eccentric city.,2019,5
3864,s3865,TV Show,Flinch,Unknown,"Desiree Burch, Lloyd Griffith, Seann Walsh",United Kingdom,2019-05-03,2019,TV-PG,1 Season,Reality TV,"Harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. If they flinch, they feel the pain.",2019,5
3867,s3868,TV Show,Tuca & Bertie,Unknown,"Tiffany Haddish, Ali Wong, Steven Yeun, Nicole Byer, Richard E. Grant, Reggie Watts",United States,2019-05-03,2019,TV-MA,1 Season,TV Comedies,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends – and birds – who guide each other through life's ups and downs.,2019,5
3870,s3871,TV Show,Code Geass: Lelouch of the Rebellion,Unknown,"Jun Fukuyama, Takahiro Sakurai, Yukana, Ami Koshimizu, Kaori Nazuka, Fumiko Orikasa, Sayaka Ohara, Noriaki Sugiyama, Takahiro Mizushima, Soichiro Hoshi, Yuko Goto",Japan,2019-05-01,2008,TV-MA,2 Seasons,"Anime Series, International TV Shows",A high-schooler who's granted powers to make anyone instantly obedient dons a mask to lead Japan's rebellion against a long-invading Britannia.,2019,5
3876,s3877,TV Show,Angel 'N' Devil,Unknown,"Simon Lian, Teddy Chen, Sylvia Wang, Cosmos Lin, Ting Liu, Lucia Chen, Allie Ji, Sunnee Yang, Na Wei-hsun",Taiwan,2019-04-30,2014,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies","In a world known as the Copper Dimension, a group of high-school girls fights against dark forces – and their own inner demons.",2019,4
3878,s3879,TV Show,Hong Kong West Side Stories,Unknown,"Louis Cheung, Myolie Wu, Justin Cheung, Brian Chan, Raymond Chiu, Fish Liew, Lee Sheung Ching, Kaki Sham, Gregory Wong, Thor Lok",Hong Kong,2019-04-30,2018,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","The intimate lives of young men and women from Hong Kong are linked by loosely connected stories about love, lust, separation and deceit.",2019,4
3879,s3880,TV Show,Ingress: The Animation,Unknown,"Yoshiki Nakajima, Reina Ueda, Shigeo Kiyama, Tarusuke Shingaki, Kohsuke Toriumi, Kentaro Tone, Hiroo Sasaki, Megumi Ogata",Japan,2019-04-30,2018,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows","After scientists discover a mysterious substance that can influence human minds, two factions wage an all-out battle to control its awesome power.",2019,4
3881,s3882,TV Show,K.O.3an Guo,Unknown,"George Hu, Chen De-xiu, Bo Yan, Lorene Ren, Tsai Yi-chen, Benjamin H. Wang, Wes Lo, Shao Xiang, Pets Tseng, Nylon Chen, Wu Xiong",Taiwan,2019-04-30,2009,TV-14,1 Season,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy","In the Silver Dimension, Liu Bei, Guan Yu and Zhang Fei plan to enroll in an elite academy as sworn brothers, but KO One visitors derail the plan.",2019,4
3883,s3884,TV Show,The Outsiders,Unknown,"Dylan Kuo, Ady An, Lan Cheng-Lung, Michael Chang, Joelle Lu",Taiwan,2019-04-30,2004,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows",A trio of delinquent brothers fends off neighborhood rivals until one joins a gang to gain protection for the upper-class girl he loves.,2019,4
3884,s3885,TV Show,Ash vs. Evil Dead,Unknown,"Bruce Campbell, Lucy Lawless, Ray Santiago, Dana DeLorenzo, Jill Marie Jones",United States,2019-04-29,2018,TV-MA,3 Seasons,"TV Action & Adventure, TV Comedies, TV Horror","Thirty years later, Ash Williams – demon hunter par excellence – is back to battle a new Deadite plague. He may have lost a hand, but not his touch.",2019,4
3886,s3887,TV Show,Señora Acero,Unknown,"Blanca Soto, Litzy, Damián Alcázar, Marco Pérez, Jorge Zárate, Rossana San Juan, Andrés Palacios, Rebecca Jones, Lincoln Palomeque","Mexico, United States",2019-04-28,2018,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When her drug-trafficking husband dies, an unassuming woman stakes her own claim in the business in order to care for her gravely ill son.",2019,4
3887,s3888,TV Show,Chambers,Unknown,"Sivan Alyra Rose, Uma Thurman, Tony Goldwyn, Marcus LaVoi, Nicholas Galitzine, Kyanna Simone Simpson, Griffin Powell-Arcand, Lilli Kay, Sarah Mezzanotte, Lilliya Scarlett Reid",United States,2019-04-26,2019,TV-MA,1 Season,"TV Horror, TV Mysteries, Teen TV Shows","Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death.",2019,4
3897,s3898,TV Show,KO One,Unknown,"Aaron Yan, Jiro Wang, Calvin Ka-Sing Chen, Danson Tang, Tsai Yi-chen, Alien Huang",Taiwan,2019-04-19,2005,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies","Gifted with special powers, fighting skills and slick hair, the rowdy KO One navigates tough friendships and high school romance.",2019,4
3898,s3899,TV Show,Lunatics,Unknown,Chris Lilley,Australia,2019-04-19,2019,TV-MA,1 Season,"International TV Shows, TV Comedies",This mockumentary series follows the peculiar lives of six eccentric – and sometimes obscene – misfits who march to their own beat.,2019,4
3900,s3901,TV Show,My Dear Boy,Unknown,"Ruby Lin, Derek Chang, Lee Lee-zen, Archie Kao, Yen Yi-wen, Chu Chung-heng, Aaron Chen, Greg Han, Wen Chen-ling, Zhang Guang-chen",Taiwan,2019-04-19,2017,TV-MA,1 Season,"International TV Shows, Romantic TV Shows","Heartbroken and romantically pessimistic, a commercial director meets a young artist and teaches him life-changing lessons about love.",2019,4
3901,s3902,TV Show,Rilakkuma and Kaoru,Unknown,"Mikako Tabe, Soki Matsumoto, Takayuki Yamada, Mai Kanazawa, Shigeru Sugimoto, Issei Takubo, Kanako Nishiyama, Yuzuha Kobayashi, Masako Matsuno, Kana Odaira, Hitoshi Honma, Ayano Kinashi","Japan, United States",2019-04-19,2019,TV-PG,1 Season,"Anime Series, International TV Shows","Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear.",2019,4
3902,s3903,TV Show,Samantha!,Unknown,"Emmanuelle Araújo, Douglas Silva, Sabrina Nonata, Cauã Gonçalves, Daniel Furlan, Alice Braga, Alessandra Negrini, Lorena Comparato, Rodrigo Pandolfo, Luciana Vendramini, Maria Eduarda, Sidney Alexandre, Enzo Ovideo, Mauricio Xavier, Paulo Tiefenthaler, Ary França",Brazil,2019-04-19,2019,TV-MA,2 Seasons,"International TV Shows, TV Comedies","A child star in the '80s, Samantha clings to the fringes of celebrity with hilarious harebrained schemes to launch herself back into the spotlight.",2019,4
3920,s3921,TV Show,Crazy Ex-Girlfriend,Unknown,"Rachel Bloom, Vincent Rodriguez III, Santino Fontana, Donna Lynne Champlin, Pete Gardner, Vella Lovell, Gabrielle Ruiz, Scott Michael Foster",United States,2019-04-13,2019,TV-MA,4 Seasons,"Romantic TV Shows, TV Comedies","Still pining for Josh, the boy who dumped her ages ago, whip-smart lawyer Rebecca jettisons her New York life and moves to California to win him back.",2019,4
3924,s3925,Movie,Francesco De Carlo: Cose di Questo Mondo,Unknown,Francesco De Carlo,Italy,2019-04-12,2019,TV-MA,61 min,Stand-Up Comedy,"Taking the stage in Milan, Francesco De Carlo opens up about his bad habits, religion, politics and what he's learned from traveling the world.",2019,4
3925,s3926,TV Show,Huge in France,Unknown,"Gad Elmaleh, Scott Keiji Takeda, Jordan Ver Hoeve, Erinn Hayes, Matthew Del Negro",United States,2019-04-12,2019,TV-MA,1 Season,TV Comedies,"Eager to reconnect with his son, French comedy star Gad Elmaleh moves to LA, only to discover that he's left all his fame and celebrity perks behind.",2019,4
3927,s3928,TV Show,New Girl,Unknown,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone, Lamorne Morris, Damon Wayans Jr.",United States,2019-04-11,2018,TV-14,7 Seasons,"Romantic TV Shows, TV Comedies","Still rebounding from a breakup, Jessica Day moves in with three single guys, all of whom are ready to help her understand the ways of the world.",2019,4
3931,s3932,TV Show,You vs. Wild,Unknown,Bear Grylls,United States,2019-04-10,2019,TV-PG,1 Season,"Kids' TV, Reality TV, Science & Nature TV","In this interactive series, you'll make key decisions to help Bear Grylls survive, thrive and complete missions in the harshest environments on Earth.",2019,4
3936,s3937,TV Show,Derek,Unknown,"Ricky Gervais, Kerry Godliman, Karl Pilkington, David Earl, Kay Noone, Tim Barlow, Arthur Nightingale, Sheila Collings, Margaret Towner, Barry Martin, Prem Modgil, Blanche Williams, Ninette Finch, Brett Goldstein, Ruth Bratt, Holli Dempsey",United Kingdom,2019-04-05,2015,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home caretaker who sees only the good in everyone.,2019,4
3937,s3938,TV Show,Imposters,Unknown,"Inbar Lavi, Rob Heaps, Parker Young, Marianne Rendón, Stephen Bishop, Brian Benben, Katherine La Nasa",United States,2019-04-05,2017,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Comedies","Supported by a team of fellow thieves, a con artist lures her targets into matrimony and then absconds with their fortunes in this darkly comic series.",2019,4
3938,s3939,TV Show,Our Planet,Unknown,David Attenborough,"United States, United Kingdom",2019-04-05,2019,TV-PG,1 Season,"Docuseries, Science & Nature TV",Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,2019,4
3940,s3941,TV Show,Quicksand,Unknown,"Hanna Ardéhn, Felix Sandman, William Spetz, Ella Rappich, David Dencik, Reuben Sallmander, Maria Sundbom, Rebecka Hemse, Arvid Sand, Helena af Sandeberg, Anna Björk",Sweden,2019-04-05,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","After a tragedy at a school sends shock waves through a wealthy Stockholm suburb, a seemingly well-adjusted teen finds herself on trial for murder.",2019,4
3941,s3942,TV Show,Rimba Racer,Unknown,"Steven Tan, Iain McNally, Chi-Ren Choong, Kevin Adrian Barnaby, Tikriti Shabudin, Sherilyn Pang Li Ching, Azman Zulkiply",Malaysia,2019-04-05,2017,TV-PG,1 Season,Kids' TV,"In this animated action series, a rookie driver seeks glory in a world-class auto race, but he’ll need more than just his talent behind the wheel.",2019,4
3942,s3943,TV Show,Roman Empire: Reign of Blood,Unknown,"Sean Bean, Aaron Jakubenko, Edwin Wright, Mike Edward, Genevieve Aitken, John Bach, Tai Berdinner-Blades, Jared Turner, Andrew Foster, Calum Gittins, Shane Bartle, Ella Becroft, Lisa Chappell, Emma Fenton, Phil Brown, Carl Bland, Adam Gardiner","Canada, United States",2019-04-05,2019,TV-MA,3 Seasons,Docuseries,"This stylish mix of documentary and historical epic chronicles the reign of Commodus, the emperor whose rule marked the beginning of Rome's fall.",2019,4
3943,s3944,TV Show,Spirit: Riding Free,Unknown,"Amber Frank, Sydney Park, Bailey Gambertoglio, Darcy Rose Byrnes, Nolan North, Kari Wahlgren, Andy Pessoa, Tiya Sircar, Jonathan Craig WIlliams, Robert Knepper",United States,2019-04-05,2019,TV-Y7,8 Seasons,Kids' TV,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.",2019,4
3944,s3945,TV Show,Tijuana,Unknown,"Damián Alcázar, Tamara Vallarta, Rolf Petersen, Claudette Maillé, Teté Espinoza, Iván Aragón, Martha Claudia Moreno, Edén Villavicencio, Carlos Corona, Giancarlo Ruiz, Mayra Batalla, Rodrigo Abed, Roberto Mateos, Anabel Ferreira, Roberto Sosa",Mexico,2019-04-05,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When a prominent politician is murdered, the intrepid journalists of Frente Tijuana risk their lives to uncover the truth.",2019,4
3946,s3947,TV Show,Possessed,Unknown,"Song Sae-byeok, Go Joon-hee, Youn Jung-hoon, Jo Han-sun, Lee Won-jong, Park Gene-woo, Kwon Hyuk-hyun, Park Sang-min",South Korea,2019-04-04,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",A reluctant clairvoyant joins forces with a brusque police detective hiding a soft heart to help him solve criminal cases using her psychic abilities.,2019,4
3949,s3950,TV Show,Tango,Unknown,"Bassel Khayyat, Daniella Rahme, Bassam Moughneih, Dana Mardini, Youssef Haddad, Talal Jarday, Sameera Barody",Lebanon,2019-04-03,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Shocking secrets begin to unravel when the aftermath of a car crash leaves four best friends questioning the truth of their relationships.,2019,4
3956,s3957,TV Show,"That Winter, the Wind Blows",Unknown,"Zo In-sung, Song Hye-kyo, Kim Bum, Jung Eun-ji, Bae Jong-ok, Young-hoon Kim",South Korea,2019-04-01,2013,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Seeing the chance to enrich himself by deceiving a blind heiress, clever con man Oh Soo just does what comes naturally – but his plans soon change.",2019,4
3958,s3959,TV Show,Ultraman,Unknown,"Ryohei Kimura, Takuya Eguchi, Megumi Han, Hideyuki Tanaka, Sumire Morohoshi, Ken Uo, Shigeru Ushiyama, Ryota Takeuchi, Eiji Hanawa, Hirokazu Sekido, Minoru Shiraishi, Kenjiro Tsuda, Hiroaki Hirata, Kaiji Soze","United States, Japan",2019-04-01,2019,TV-14,1 Season,"Anime Series, International TV Shows","Decades ago, a hero from the stars left this world in peace. Now, the son of Ultraman must rise to protect the Earth from a new alien threat.",2019,4
3961,s3962,TV Show,Pablo,Unknown,"Jake Williamson, Rachael Dickson, Sumita Majumdar, Michael White, Tony Finnegan, Scott Mulligan, Rosie King",United Kingdom,2019-03-30,2017,TV-Y,1 Season,"British TV Shows, Kids' TV","Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations.",2019,3
3964,s3965,TV Show,Osmosis,Unknown,"Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoël Dupont, Stéphane Pitti, Luna Silva, Yuming Hey, Suzanne Rault-Balet, Philypa Phoenix, Lena Lapres, Waly Dia, Aurélia Petit, Lionel Lingelser, Fabien Ducommun",France,2019-03-29,2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises.",2019,3
3965,s3966,TV Show,Santa Clarita Diet,Unknown,"Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo",United States,2019-03-29,2019,TV-MA,3 Seasons,"TV Comedies, TV Horror, TV Thrillers",They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.,2019,3
3969,s3970,TV Show,Traitors,Unknown,"Emma Appleton, Michael Stuhlbarg, Luke Treadaway, Keeley Hawes, Brandon P. Bell, Matt Lauria, Jamie Blackley, David Hargreaves, Sam Hoare, Simon Kunz, Greg McHugh, Stephen Campbell Moore, Cara Horgan",United Kingdom,2019-03-29,2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas","As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government.",2019,3
3970,s3971,TV Show,Versailles,Unknown,"George Blagden, Alexander Vlahos, Tygh Runyan, Stuart Bowman, Evan Williams, Elisa Lasowski, Joe Sheridan, Steve Cumyn, Anna Brewster, Maddison Jaizani, Pip Torrens, Catherine Walker, Lizzie Brocheré, Geoffrey Bateman","France, Canada",2019-03-29,2018,TV-MA,3 Seasons,"International TV Shows, TV Dramas",King Louis XIV of France commissions a lavish palace that becomes a fierce battleground for love and politics – and a gilded prison for nobility.,2019,3
3971,s3972,TV Show,Ainori Love Wagon: Asian Journey,Unknown,"Becky, Audrey, Mayuko Kawakita, Shimon Okura",Japan,2019-03-28,2018,TV-MA,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows","Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple.",2019,3
3979,s3980,TV Show,Charlie's Colorforms City,Unknown,"Jacob Soley, Saara Chaudry, Tyler Barish, Zoe Hatz, Julie Lemieux, Joseph Motiki, Shoshana Sperling, Adrianna Di Liello, Deann Degruijter, Stacey DePass",United States,2019-03-22,2019,TV-Y,1 Season,Kids' TV,"Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West – and right at home.",2019,3
3980,s3981,TV Show,Crime Diaries: The Candidate,Unknown,"Jorge A. Jiménez, Ilse Salas, Alberto Guerra, Gustavo Sánchez Parra, Jorge Antonio Guerrero, Ari Brickman, Martín Altomaro, Hernán Del Riego, Norma Angélica, Lisa Owen, Eligio Meléndez, Marco Treviño, Pedro de Tavira Egurrola, Leonardo Alonso",Mexico,2019-03-22,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it. Based on true events.",2019,3
3981,s3982,TV Show,Delhi Crime,Unknown,"Shefali Shah, Rajesh Tailang, Rasika Dugal, Adil Hussain, Vinod Sharawat, Mridul Sharma, Gopal Dutt Tiwari, Anurag Arora, Gaurav Rana, Yashaswini Dayama",India,2019-03-22,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case.",2019,3
3986,s3987,TV Show,The OA,Unknown,"Brit Marling, Jason Isaacs, Emory Cohen, Scott Wilson, Phyllis Smith, Alice Krige, Patrick Gibson, Brendan Meyer, Brandon Perea, Ian Alexander, Will Brill, Riz Ahmed, Paz Vega",United States,2019-03-22,2019,TV-MA,2 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","Seven years after vanishing from her home, a young woman returns with mysterious new abilities and recruits five strangers for a secret mission.",2019,3
3988,s3989,TV Show,Bo on the Go!,Unknown,"Catherine O'Connor, Andrew Sabiston, Jim Fowler",Canada,2019-03-21,2007,TV-Y,1 Season,Kids' TV,"Staying at home doesn't mean sitting still for energetic Bo and her little dragon friend Dezzy, who embark on amazing adventures through movement.",2019,3
3989,s3990,TV Show,Stay Tuned!,Unknown,"Kyoko Yoshine, Hiroki Iijima, Kanako Miyashita, Yo Oizumi, Ken Yasuda",Japan,2019-03-21,2019,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas","She's the most unlikely candidate to ever stumble into the role of a reporter, and she’s keeping everyone on their toes with her eccentric ways.",2019,3
3998,s3999,TV Show,My Husband Won't Fit,Unknown,"Natsumi Ishibashi, Aoi Nakamura",Japan,2019-03-20,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Kumiko and Kenichi meet in college and build a happy marriage together. But over time, an unusual problem threatens to destroy their relationship.",2019,3
4001,s4002,TV Show,Green Door,Unknown,"Jam Hsiao, Bea Hayden Kuo, Enno Cheng, Hsieh Ying-xuan, Jason King, Lan Wei-Hua, Shen Hai Jung, Ruby Zhan, Blue Lan",Taiwan,2019-03-17,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A troubled psychologist returns from the U.S. and sets up a clinic in Taiwan, where mysterious patients and uncanny events shed light on his murky past.",2019,3
4006,s4007,TV Show,If I Hadn't Met You,Unknown,"Pablo Derqui, Mercedes Sampietro, Andrea Ros, Javier Beltrán, Paula Malia, David Vert, Muguet Franc, Miquel García Borda, Berta Garcia, Joel Bramona, Montse Guallar, Abel Folk, Sergi López, Òscar Jarque, Eli Iranzo",Spain,2019-03-15,2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Eduard, a husband and father who loses his family in a tragic accident, travels to parallel universes to seek a better fate for his beloved wife.",2019,3
4014,s4015,TV Show,Robozuna,Unknown,"Taylor Clarke-Hill, Tom Clarke-Hill, Larissa Murray, Brianna Price, Michael Obiora, Morwenna Banks, Rufus Jones, Duncan Wisbey, Danny John-Jules, Ali A",United Kingdom,2019-03-15,2018,TV-Y7,2 Seasons,"British TV Shows, Kids' TV",A boy and his homemade robot enter the toughest competition in the universe while attempting to free their oppressed home from an evil empire.,2019,3
4016,s4017,TV Show,Turn Up Charlie,Unknown,"Idris Elba, Piper Perabo, JJ Feild, Frankie Hervey, Guz Khan",United Kingdom,2019-03-15,2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Comedies",A down-and-out DJ plots to rebuild his music career while working as a nanny for his famous best friend's wild 11-year-old daughter.,2019,3
4022,s4023,TV Show,More to Say,Unknown,"Yousra, Naglaa Badr, Sherine Reda, Ahmed Hatem, Hesham Selim, Ingi Abou Zeid, Farouk El Fishawy, Mahmoud Fares, Tayam Amar, Heba Abdelaziz, Heba Abdelghany, Mariam El Khosht",Egypt,2019-03-13,2018,TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries","After her son dies in an accident, a legal consultant is forced to prove her innocence when she's accused of his murder.",2019,3
4023,s4024,TV Show,The Land of Hypocrisy,Unknown,"Mohamed Henedy, Dalal Abdel Aziz, Hana Shiha, Mohammed Tharwat, Salwa Mohammed, Mohammed Hafiz, Ibrahim Issa, Leila Ezz Al Arab, Mohammed Mahmoud",Egypt,2019-03-13,2018,TV-14,1 Season,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy",A hardworking man in a thankless job meets a mysterious doctor who sells him powerful pills that throw his life into disarray.,2019,3
4026,s4027,TV Show,Eugenie Nights,Unknown,"Ameena Khalil, Zafer Abdeen, Injy El Mokkaddem, Khaled Kamal, Cherif Hafez, Carmen Bsaibes, Mourad Makram, Leila Ezz Al Arab, Asmaa Abou El Yazeed, Nadine Nassib Njeim",Egypt,2019-03-11,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","In 1940s Port Said, Kariman finds comfort and solace in the arms of an unhappily married man, who also happens to be her abusive husband's brother.",2019,3
4027,s4028,TV Show,This Evening,Unknown,"Eyad Nassar, Ahmed Dawood, Mohamed Farraag, Hanan Motawie, Arwa Gouda, Bassel Alzaro",Egypt,2019-03-11,2017,TV-14,1 Season,"International TV Shows, TV Dramas",The lives of a wealthy couple hiding their marital problems intersect with a group of hackers and the young women they exploit.,2019,3
4028,s4029,TV Show,Into the Badlands,Unknown,"Daniel Wu, Emily Beecham, Sarah Bolger, Oliver Stark, Orla Brady, Ally Ioannides, Stephen Lang, Marton Csokas, Madeleine Mantock, Aramis Knight",United States,2019-03-10,2018,TV-MA,3 Seasons,TV Action & Adventure,"Dreaming of escaping to a distant city, a ferocious warrior and a mysterious boy tangle with territorial warlords and their highly trained killers.",2019,3
4030,s4031,TV Show,Disappearance,Unknown,"Nelly Karim, Mohamed Mamdouh, Hesham Selim",Egypt,2019-03-08,2018,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A university lecturer in Russia returns to Egypt after her husband's sudden disappearance, uncovering further mysteries the more she investigates.",2019,3
4032,s4033,TV Show,Immortals,Unknown,"Kerem Bürsin, Elçin Sangu, Birkan Sokullu, Selma Ergeç, Türkü Turan, Nilperi Şahinkaya, Efecan Şenolsun, Elit İşcan",Turkey,2019-03-08,2018,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror","Driven by revenge, human-turned-vampire Mia sets out to vanquish Dmitry, a ruthless vampire leader who seeks an artifact that grants immortality.",2019,3
